SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
Vacant/Abandoned Building,13-00001024,1/1/2013,Front,,Open,REAR,Vacant,FALSE,TRUE,7325,S,WOLCOTT,AVE,60636,1164955.305,1856097.262,17,7,67,41.76073193,-87.67099502,"(41.76073193385562, -87.67099502215802)"
Vacant/Abandoned Building,13-00001894,1/1/2013,Rear,,Open,REAR,Vacant,FALSE,TRUE,1937,N,LAWNDALE,AVE,60647,1151398.969,1912759.693,26,25,22,41.91649659,-87.71919527,"(41.916496586030924, -87.71919526933623)"
Vacant/Abandoned Building,13-00001918,1/1/2013,Front,,Open,FRONT & REAR,Vacant,FALSE,FALSE,706,E,50TH,PL,60615,1181868.508,1871686.598,4,2,38,41.80313645,-87.60852611,"(41.80313645070464, -87.6085261060884)"
Vacant/Abandoned Building,13-00003271,1/2/2013,Front,,Open,,Vacant,FALSE,FALSE,5318,S,PEORIA,ST,60609,1171207.84,1869464.168,20,9,61,41.7972779,-87.64768857,"(41.79727790322774, -87.64768857322565)"
Vacant/Abandoned Building,13-00007606,1/2/2013,Front,,Open,REAR,Vacant,FALSE,FALSE,3426,S,PRAIRIE,AVE,60616,1178494.876,1882300.892,3,2,35,41.83234036,-87.62057577,"(41.83234035501337, -87.62057577378516)"
Vacant/Abandoned Building,13-00007849,1/2/2013,Front,,Open,FRONT,Vacant,FALSE,TRUE,7139,S,PEORIA,ST,60621,1171539.675,1857503.301,17,7,68,41.76444863,-87.64682187,"(41.7644486281386, -87.64682187390906)"
Vacant/Abandoned Building,13-00009227,1/3/2013,Rear,,Open,FRONT AND REAR,Vacant,FALSE,TRUE,4943,W,OHIO,ST,60644,1143296.611,1903538.755,37,15,25,41.89134866,-87.74919408,"(41.89134866042864, -87.74919407609613)"
Vacant/Abandoned Building,13-00009603,1/3/2013,Front,,Open,,Vacant,FALSE,FALSE,5131,S,CENTRAL,AVE,60638,1139892.883,1870040.949,23,8,56,41.7994887,-87.76251221,"(41.79948870244597, -87.76251221030502)"
Vacant/Abandoned Building,13-00009630,1/3/2013,Rear,,Open,BACK BASEMENT DOOR,Vacant,FALSE,FALSE,1032,E,103RD ST,ER,60628,1184855.516,1839049.884,8,5,50,41.71350847,-87.59859377,"(41.71350847328737, -87.59859377091578)"
Vacant/Abandoned Building,13-00009647,1/3/2013,Front,,Open,REAR BASEMENT DOOR IS OPEN,Vacant,FALSE,FALSE,1028,E,103RD ST,ER,60628,1184829.316,1839049.584,8,5,50,41.71350826,-87.59868973,"(41.713508263527615, -87.59868973304687)"
Vacant/Abandoned Building,13-00009655,1/3/2013,Front,,Open,"FRONT DOOR, BASEMENT DOOR AS WELL AS THE SIDE GARAGE DOOR.",Vacant,FALSE,FALSE,8752,S,HERMITAGE,AVE,60620,1166205.037,1846652.178,21,22,71,41.73478678,-87.66668288,"(41.73478677501198, -87.66668288429938)"
Vacant/Abandoned Building,13-00010392,1/3/2013,Front,,Open,,Vacant,FALSE,TRUE,217,N,KOSTNER,AVE,60624,1147023.411,1900801.809,28,11,26,41.88376773,-87.73557718,"(41.883767734712094, -87.73557717998277)"
Vacant/Abandoned Building,13-00010472,1/3/2013,Front,,Open,,Vacant,FALSE,TRUE,3713,W,CHICAGO,AVE,60651,1151434.819,1905083.807,27,11,23,41.89543252,-87.71926544,"(41.89543251804857, -87.71926543729803)"
Vacant/Abandoned Building,13-00010952,1/3/2013,Front,,Open,,Vacant,TRUE,FALSE,4446,W,MAYPOLE,AVE,60624,1146602.86,1901082.555,28,11,26,41.88454616,-87.73711434,"(41.88454616181626, -87.73711433585426)"
Vacant/Abandoned Building,13-00011555,1/3/2013,Front,,Open,OPEN IN FRONT WINDOWS AND DOORS IN BACK,Vacant,FALSE,TRUE,7309,S,ABERDEEN,ST,60621,1170247.529,1856341.36,17,7,68,41.76128832,-87.65159167,"(41.76128831513848, -87.65159167254228)"
Vacant/Abandoned Building,13-00011814,1/3/2013,Front,,Open,OPEN IN FRONT AND BACK,Vacant,FALSE,TRUE,7927,S,EMERALD,AVE,60620,1172676.77,1852306.752,17,6,71,41.75016367,-87.64280702,"(41.75016366826379, -87.64280702028255)"
Vacant/Abandoned Building,13-00012424,1/3/2013,Front,,Open,,Vacant,FALSE,FALSE,1338,S,SPRINGFIELD,AVE,60623,1150593.18,1893504.574,24,10,29,41.86367432,-87.7226592,"(41.863674318339115, -87.72265919915962)"
Vacant/Abandoned Building,13-00012427,1/3/2013,Front,,Open,,Vacant,FALSE,FALSE,1202,S,SPRINGFIELD,AVE,60623,1150566.279,1894413.365,24,10,29,41.86616867,-87.72273422,"(41.8661686742395, -87.72273422289342)"
