,date_service_received,open_or_boarded,vacant_or_occupied,vacant_fire,property_used,zipcode,latitude,longitude
0,1/1/2013,Open,Vacant,False,True,60636.0,41.76073193,-87.67099502
1,1/1/2013,Open,Vacant,False,True,60647.0,41.91649659,-87.71919527
2,1/1/2013,Open,Vacant,False,False,60615.0,41.80313645,-87.60852611
3,1/2/2013,Open,Vacant,False,False,60609.0,41.7972779,-87.64768857
4,1/2/2013,Open,Vacant,False,False,60616.0,41.83234036,-87.62057577
5,1/2/2013,Open,Vacant,False,True,60621.0,41.76444863,-87.64682187
6,1/3/2013,Open,Vacant,False,True,60644.0,41.89134866,-87.74919408
7,1/3/2013,Open,Vacant,False,False,60638.0,41.799488700000005,-87.76251221
8,1/3/2013,Open,Vacant,False,False,60628.0,41.71350847,-87.59859377
9,1/3/2013,Open,Vacant,False,False,60628.0,41.71350826,-87.59868973
10,1/3/2013,Open,Vacant,False,False,60620.0,41.73478678,-87.66668288
11,1/3/2013,Open,Vacant,False,True,60624.0,41.88376773,-87.73557718
12,1/3/2013,Open,Vacant,False,True,60651.0,41.89543252,-87.71926544
13,1/3/2013,Open,Vacant,True,False,60624.0,41.88454616,-87.73711434
14,1/3/2013,Open,Vacant,False,True,60621.0,41.76128832,-87.65159167
15,1/3/2013,Open,Vacant,False,True,60620.0,41.75016367,-87.64280702
16,1/3/2013,Open,Vacant,False,False,60623.0,41.86367432,-87.72265920000001
17,1/3/2013,Open,Vacant,False,False,60623.0,41.86616867,-87.72273422
18,1/3/2013,Open,Vacant,False,False,60623.0,41.86433825,-87.72267711
19,1/3/2013,Open,Vacant,False,True,60656.0,41.97829384,-87.80993945
20,1/4/2013,Open,Vacant,False,False,60621.0,41.78597745,-87.64615702
21,1/4/2013,Open,Vacant,False,False,60621.0,41.78630849,-87.64738519
22,1/4/2013,Open,Vacant,False,True,60637.0,41.77933452,-87.59617424
23,1/4/2013,Open,Vacant,False,True,60707.0,41.92756635,-87.79414139
24,1/4/2013,Open,Vacant,True,False,60629.0,41.78174829,-87.68981090000001
25,1/4/2013,Open,Vacant,False,False,60609.0,41.79392853,-87.67315387
26,1/4/2013,Open,Vacant,False,False,60636.0,41.79327119,-87.66092568
27,1/5/2013,Open,Vacant,False,True,60643.0,41.70686089,-87.64903964
28,1/5/2013,Open,Vacant,False,False,60615.0,41.80330551,-87.62268144
29,1/5/2013,Open,Vacant,False,False,60624.0,41.87258314,-87.72183815
30,1/5/2013,Open,Vacant,False,True,60644.0,41.8837909,-87.75763621
31,1/5/2013,Open,Vacant,False,True,60707.0,41.92237821,-87.79567168
32,1/6/2013,Open,Vacant,False,True,60624.0,41.87328036,-87.73829592
33,1/6/2013,Open,Vacant,False,True,60629.0,41.76963836,-87.68705159999999
34,1/6/2013,Boarded,Vacant,False,True,60623.0,41.83454769,-87.72185749
35,1/6/2013,Boarded,Vacant,False,True,60643.0,41.69194634,-87.67097270000001
36,1/6/2013,Open,Vacant,False,True,60608.0,41.835699,-87.67789557
37,1/6/2013,Open,Vacant,False,False,60609.0,41.80292288,-87.65509653
38,1/7/2013,Open,Vacant,True,False,60624.0,41.87519086,-87.73154872
39,1/7/2013,Open,Vacant,False,False,60707.0,41.91629705,-87.795924
40,1/7/2013,Open,Vacant,False,False,60609.0,41.80249361,-87.65144117
41,1/7/2013,Open,Vacant,False,True,60639.0,41.91153452,-87.77894393
42,1/7/2013,Open,Vacant,False,True,60623.0,41.85111132,-87.71376125
43,1/7/2013,Open,Vacant,False,False,60629.0,41.7855471,-87.68747284
44,1/7/2013,Open,Vacant,False,False,60624.0,41.884756700000004,-87.73560942
45,1/7/2013,Open,Vacant,True,False,60616.0,41.83962519,-87.64510558
46,1/7/2013,Open,Vacant,False,False,60609.0,41.79928074,-87.65136461
47,1/7/2013,Open,Vacant,False,False,60609.0,41.79769474,-87.6513241
48,1/7/2013,Open,Vacant,False,False,60607.0,41.88032234,-87.65756652
49,1/8/2013,Open,Vacant,False,True,60651.0,41.89909416,-87.71799172
50,1/8/2013,Open,Vacant,False,True,60644.0,41.89005103,-87.75589047
51,1/8/2013,Open,Vacant,False,False,60636.0,41.79161679999999,-87.6742325
52,1/8/2013,Open,Vacant,False,True,60624.0,41.87246583,-87.73303320000001
53,1/8/2013,Open,Vacant,False,False,60609.0,41.79884996,-87.66957935
54,1/8/2013,Open,Vacant,False,False,60621.0,41.79386346,-87.65046439
55,1/8/2013,Open,Vacant,False,False,60624.0,41.87073665,-87.72405104
56,1/8/2013,Open,Vacant,False,False,60609.0,41.80208378,-87.67989959
57,1/8/2013,Open,Vacant,False,False,60624.0,41.8833482,-87.72696724
58,1/8/2013,Open,Vacant,False,True,60621.0,41.78840595,-87.65108338
59,1/8/2013,Open,Vacant,False,False,60643.0,41.66277435,-87.64627934
60,1/8/2013,Boarded,Vacant,False,False,60616.0,41.85426926,-87.62506705
61,1/8/2013,Open,Vacant,False,False,60651.0,41.9009388,-87.72625208
62,1/8/2013,Open,Vacant,False,True,60644.0,41.88469599,-87.74665735
63,1/8/2013,Open,Vacant,False,True,60644.0,41.88474814,-87.74665908
64,1/8/2013,Open,Vacant,False,False,60621.0,41.79028379,-87.64869893
65,1/8/2013,Open,Vacant,False,False,60621.0,41.7921604,-87.65117651
66,1/8/2013,Open,Vacant,False,True,60644.0,41.88405648,-87.75520035
67,1/8/2013,Open,Vacant,False,False,60621.0,41.78698353,-87.64783414
68,1/9/2013,Open,Vacant,False,False,60620.0,41.75234378,-87.65210618
69,1/9/2013,Open,Vacant,False,False,60620.0,41.75025641,-87.64888037
70,1/9/2013,Open,Vacant,False,False,60628.0,41.68855885,-87.63139518
71,1/9/2013,Open,Vacant,False,False,60621.0,41.77052924,-87.65317446
72,1/9/2013,Open,Vacant,False,True,60625.0,41.98230424,-87.70155902
73,1/9/2013,Open,Vacant,False,True,60624.0,41.88059881,-87.72566598
74,1/9/2013,Open,Vacant,False,True,60621.0,41.7778089,-87.65202377
75,1/9/2013,Open,Vacant,False,False,60618.0,41.95219093,-87.6891119
76,1/9/2013,Open,Vacant,False,True,60619.0,41.76519973,-87.60190004
77,1/9/2013,Open,Vacant,False,False,60643.0,41.68576314,-87.65904133
78,1/9/2013,Open,Vacant,False,False,60617.0,41.74910721,-87.55648496
79,1/9/2013,Open,Vacant,False,False,60622.0,41.89634654,-87.69671999
80,1/9/2013,Open,Vacant,False,False,60628.0,41.68529355,-87.62512827
81,1/9/2013,Open,Vacant,True,True,60651.0,41.90529354,-87.72516632
82,1/10/2013,Open,Vacant,False,False,60644.0,41.88248737,-87.76326478
83,1/10/2013,Open,Vacant,False,True,60644.0,41.87762942,-87.75006748
84,1/10/2013,Open,Vacant,False,True,60621.0,41.78385028,-87.64729783
85,1/10/2013,Open,Vacant,False,False,60608.0,41.85387637,-87.68568802
86,1/10/2013,Open,Vacant,False,True,60624.0,41.87976169,-87.72563717
87,1/10/2013,Open,Vacant,False,False,60619.0,41.72655719,-87.60837253
88,1/10/2013,Open,Vacant,,True,60651.0,41.89930477,-87.75816683
89,1/10/2013,Open,Vacant,False,False,60629.0,41.77527405,-87.70615426
90,1/10/2013,Open,Vacant,False,False,60647.0,41.91058927,-87.72269456
91,1/10/2013,Open,Vacant,False,False,60618.0,41.95045011,-87.71036922
92,1/10/2013,Open,Vacant,False,False,60636.0,41.76763792,-87.67239165
93,1/10/2013,Open,Vacant,False,True,60636.0,41.77022879999999,-87.67366713
94,1/10/2013,Open,Vacant,True,False,60629.0,41.77518357,-87.71180421
95,1/10/2013,Open,Vacant,False,True,60609.0,41.80208071,-87.68013105
96,1/10/2013,Open,Vacant,False,True,60647.0,41.91177964,-87.71993643
97,1/11/2013,Open,Vacant,False,False,60657.0,41.93652809,-87.65642308
